Grade,Category,Code,Hierarchy,Num,Defect,Surface,Surface Detail,uid
A,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,damaged,AA,['all'],6e37c44a-eadf-4697-8df0-ac83a0bb3450
A,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,deep scratch,AA,['all'],d9fbb5fb-37a0-4e13-baa7-89cb4fc58ca7
A,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,level 1,AA,['all'],a9a0e990-516c-41a7-af8d-1a4524e3cc34
A,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,level 2,AA,['all'],5aae3f88-f449-44b5-85cd-c96a93a4a750
A,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,discoloration,AA,['all'],765e9c80-3336-41fa-82fd-af8514e8b60f
A,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,light scratch,AA,['all'],c9dda771-24d8-42a0-9c84-e79779729b50
A,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,damaged,A,['all'],6bc641c8-c90e-4bba-8251-163e05745bac
A,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,deep scratch,A,['all'],669a259a-15ed-4e4a-a849-fc7db85ad219
A,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,level 2,A,['all'],76831946-d413-4e84-84e3-77f2e07c6ede
A,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,discoloration,A,['all'],3e304378-f3c6-4975-a812-08201b68c820
A,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,light scratch,A,['all'],b7c17b39-6a51-4f51-a42d-297f6687ffae
A,05-Bezel Cosmetic Failure,Cosmetic-5,2,2,level 1,A,['all'],4fac9ba1-2424-4c6c-a863-55dc397030f8
A,Back Cover Cosmetic Failure,Cosmetic-2,3,0,damaged,B,['all'],e8e327f3-954c-41f2-9579-b050da004659
A,Back Cover Cosmetic Failure,Cosmetic-2,3,0,deep scratch,B,['all'],f3216e39-aea9-4742-bc09-53d53af7701f
A,Back Cover Cosmetic Failure,Cosmetic-2,3,0,discoloration,B,['all'],9c307f19-629f-4f0b-b2ff-2a35f9a769be
A,Back Cover Cosmetic Failure,Cosmetic-2,3,0,light scratch,B,['all'],3828607f-ba3d-4310-99c6-5db65346609e
A,Back Cover Cosmetic Failure,Cosmetic-2,3,3,level 1,B,['all'],7c46f8f9-feb2-4988-982b-38e478baaf06
A,Back Cover Cosmetic Failure,Cosmetic-2,3,1,level 2,B,['all'],af13311a-1b7a-4fa2-b9db-94b897123d8a
B,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,damaged,AA,['all'],89d96cdc-5c08-4608-8359-3d932f96fd74
B,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,deep scratch,AA,['all'],3959b218-dae8-4ff4-993b-fc1b31f8a919
B,L1-LCD Cosmetic Damage,Cosmetics-16,1,0,discoloration,AA,['all'],13711f33-24d5-47f6-a0ef-84756010d78e
B,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,damaged,A,['all'],60c91316-7547-4f8f-b5c9-17fa2a72aeda
B,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,deep scratch,A,['all'],ecd0d669-6c45-49a6-88d6-e71f9c3b9a37
B,05-Bezel Cosmetic Failure,Cosmetic-5,2,0,discoloration,A,['all'],14f01050-833f-4651-be2c-68a5bbc0b46e
B,Back Cover Cosmetic Failure,Cosmetic-2,3,0,damaged,B,['all'],c630c89f-5ab0-48d9-bf36-b9cfbe1fad39
