Grade,Surface,Defect Type,Defect,Min Width,Max Width,Min Length,Max Length,Min Contrast,Min Area Pixel,uid
A,A,damaged,crack,,,,,,,8d5da281-33c0-434c-a560-76d3afabe429
A,A,damaged,missingpart,,,,,,,5a5dccb3-9278-425b-82c8-f6afffe9cf9d
A,A,level 1,dent,,0.8,,0.8,,,8a2e7e02-4e23-4c8a-b56b-98f539075870
A,A,level 1,nick,,0.8,,0.8,,,eb84f749-01ba-4094-9953-5868e8e9fed0
A,A,level 1,pindot,,,,0.8,,,c101fd73-dca7-419c-9e9a-40b1cd5f2ac1
A,A,level 1,scratch,,0.1,,5,,,ad4adfab-0fbe-4304-9bd2-5593f9079962
A,A,level 2,dent,,1,,1,,,bde9ac57-8830-4037-924b-5064cf9b304e
A,A,level 2,nick,,1,,1,,,73426f86-6b8b-412d-bbb4-43675077ea80
A,A,level 2,pindot,,,,1,,,21ded0bd-9fcc-4aff-b9ca-50b2abf0210c
A,A,level 2,scratch,,0.2,,10,,,e1dba258-831d-44ca-a9b8-d04a3d2c54b4
A,A,deep scratch,dent,0.36,,,,18,250,55bf03dd-ea53-4d65-9af8-2536a904965e
A,A,deep scratch,nick,0.36,,,,18,250,3ee0c064-1170-40ff-a538-0995ad077287
A,A,deep scratch,scratch,0.0375,,1.6,,17,500,6a0ada2b-19ab-4590-b97e-2fa67a51e3e9
A,A,discoloration,discoloration,,,,,,,ce1946de-17fe-4236-a6b8-76e651268df3
A,A,light scratch,dent,,,,,,,9c9e24c1-f830-440e-8043-1131babc0dd9
A,A,light scratch,nick,,,,,,,5cd57816-2648-4ba6-a72a-2d78666e4839
A,A,light scratch,pindot,,,,,,,12bfbfb7-d5ab-437a-bffc-015084109ccb
A,A,light scratch,scratch,,,,,,,95115467-1b10-4897-a661-0810b406b530
A,A,light scratch,grouppindot,,,,,,,af021fb6-7812-4c2d-acde-611dc5881c58
A,B,damaged,crack,,,,,,,e56bd8b2-0e58-4fce-af3c-5d34a81545b3
A,B,damaged,missingpart,,,,,,,ce9bfa64-ae03-4b3f-850e-cdc5b217a4bd
A,B,level 1,dent,,0.8,,0.8,,,59be021b-983c-4e39-bbc6-9a78f7753003
A,B,level 1,nick,,0.8,,0.8,,,81008327-5133-46c8-90b2-ac4cfcb3fd3d
A,B,level 1,pindot,,,,0.8,,,bd88f8ac-47dc-4763-a43f-6789baedeefa
A,B,level 1,scratch,,0.1,,5,,,206d3e0b-a157-4a15-ae3d-80e10b870eef
A,B,level 2,dent,,1,,1,,,8c23a8c0-8efe-4099-b1ad-07afccf691ee
A,B,level 2,nick,,1,,1,,,ee5e2020-4e3d-4708-af12-b6a74f182960
A,B,level 2,pindot,,,,1,,,52f23da7-555c-48cc-99da-43da7f8b3ed5
A,B,level 2,scratch,,0.2,,10,,,ade4b685-fb11-4d21-914d-5ba796b5023f
A,B,deep scratch,dent,0.36,,,,18,250,165f3ed6-f1d7-453e-b28b-308c4d50362f
A,B,deep scratch,nick,0.36,,,,18,250,7bdba99c-6674-4959-aa0d-9c8fae16d46d
A,B,deep scratch,scratch,0.0375,,1.6,,17,500,13232233-557b-46e4-90a5-a79f17c973b3
A,B,discoloration,discoloration,,,,,,,68286433-a154-49c8-a7cb-43995d564e1f
A,B,light scratch,dent,,,,,,,2d344e0b-c632-4b09-b09f-7e54da9cfced
A,B,light scratch,nick,,,,,,,fa87ff13-a1ff-476e-a223-23a594b834ca
A,B,light scratch,pindot,,,,,,,b951c68b-70d8-4f2c-ba73-9acfed7c4844
A,B,light scratch,scratch,,,,,,,776124d1-8e2f-4002-80fb-c4891e1220a4
A,B,light scratch,grouppindot,,,,,,,e3fac1ee-e28b-4d1a-8fbc-f8379b4a56e0
A,AA,damaged,crack,,,,,,,65fe15c2-c2ec-418f-931b-3c174620a044
A,AA,damaged,missingpart,,,,,,,0f1a1e96-7e89-458a-8bd6-d0ac41a69c68
A,AA,level 1,dent,,0.8,,0.8,,,6bf485ff-7b96-4fbd-9d6d-7541b3ba8baa
A,AA,level 1,nick,,0.8,,0.8,,,7afe521d-8d63-4dea-aaf9-2c8f4c67bec9
A,AA,level 1,pindot,,,,0.8,,,520064b1-7ea4-4eaf-b272-6171bc0332d4
A,AA,level 1,scratch,,0.1,,5,,,115badaf-bb6a-4e58-aa02-f798f8f179a8
A,AA,level 2,dent,,1,,1,,,4097f5ce-f09f-43a6-8e11-5b4a58e14804
A,AA,level 2,nick,,1,,1,,,4d79ef38-e71c-4421-80ba-fab902ebcdab
A,AA,level 2,pindot,,,,1,,,0e5e7af4-c5e6-4b4e-b2e5-bfa2d257ac78
A,AA,level 2,scratch,,0.2,,10,,,674988e4-aa2f-446f-a0bf-4dcc34a1e6d9
A,AA,deep scratch,dent,0.36,,,,18,250,1249de5a-e597-498e-ae79-dd1290f76cf9
A,AA,deep scratch,nick,0.36,,,,18,250,3e2ee47c-6067-47e1-ab78-f710e6c12a1b
A,AA,deep scratch,scratch,0.0375,,1.6,,17,500,4e214f6d-b025-4872-95b8-07e09948e6d3
A,AA,discoloration,discoloration,,,,,,,64022bc9-459b-40bf-ae04-9fb84da80a2e
A,AA,light scratch,dent,,,,,,,150ac064-f313-45d2-a57d-a9470a93f406
A,AA,light scratch,nick,,,,,,,8bd262ae-f645-487b-af47-fc0bc274af2c
A,AA,light scratch,pindot,,,,,,,720e6e8c-909d-4e20-88c2-790d42b80847
A,AA,light scratch,scratch,,,,,,,173b8494-bfce-4434-8117-8d582372910e
A,AA,light scratch,grouppindot,,,,,,,1b443e09-1531-455c-8d69-1cd711e9d86d
B,A,damaged,crack,,,,,,,8e376b8e-2aff-4944-987a-18a567ad621e
B,A,damaged,missingpart,,,,,,,6a18f5fb-96dc-4026-9e74-ecfb479e82ac
B,A,level 1,dent,,0.8,,0.8,,,c8596de3-7dba-4bab-ab24-161a96cb7726
B,A,level 1,nick,,0.8,,0.8,,,4c826659-e555-437e-9b97-c60a61c9ae09
B,A,level 1,pindot,,,,0.8,,,d59a412a-a217-4024-bce7-ecabdd9b3c84
B,A,level 1,scratch,,0.1,,5,,,75727f9d-dbe4-42b3-8f3e-cf9170530ca8
B,A,level 2,dent,,1,,1,,,ff913284-b0c8-4fef-9986-27f91ff22fa9
B,A,level 2,nick,,1,,1,,,d880c18b-62cc-4c37-9154-3bf09bb25f31
B,A,level 2,pindot,,,,1,,,efe6a670-5996-4264-8426-60f822673469
B,A,level 2,scratch,,0.2,,10,,,f3c977c7-61af-497f-a83b-453ef392d91a
B,A,deep scratch,dent,0.36,,,,18,250,fc823545-b615-420c-85e3-31520f5a6656
